Date,Price,Open,High,Low,Volume,Chg%
18-03-2021,72.69,72.362,72.724,72.32,2.60K,0.18%
19-03-2021,72.401,72.673,72.732,72.413,2.43K,-0.40%
22-03-2021,72.37,72.469,72.528,72.305,2.03K,-0.04%
23-03-2021,72.55,72.395,72.555,72.268,4.09K,0.25%
24-03-2021,72.59,72.57,72.726,72.503,4.30K,0.06%
25-03-2021,72.66,72.605,72.725,72.558,3.62K,0.10%
26-03-2021,72.61,72.635,72.663,72.363,2.52K,-0.07%
29-03-2021,72.748,72.526,72.768,72.481,0.75K,0.19%
30-03-2021,73.44,72.742,73.631,72.727,2.24K,0.95%
31-03-2021,73.137,73.418,73.618,73.05,2.04K,-0.41%
01-04-2021,73.323,73.169,73.453,73.155,0.95K,0.25%
02-04-2021,73.37,73.3,73.4,73.255,2.45K,0.06%
05-04-2021,73.294,73.34,73.463,73.276,1.61K,-0.10%
06-04-2021,73.486,73.26,73.502,73.207,2.11K,0.26%
07-04-2021,74.352,73.44,74.588,73.432,2.47K,1.18%
08-04-2021,74.572,74.46,74.923,74.184,1.80K,0.30%
09-04-2021,74.722,74.582,74.98,74.53,2.39K,0.20%
12-04-2021,74.98,74.985,75.2,74.733,2.30K,0.35%
13-04-2021,75.26,75.029,75.546,74.965,0.97K,0.37%
14-04-2021,75.05,75.177,75.251,75.054,0.95K,-0.28%
15-04-2021,74.72,75.054,75.35,74.73,2.23K,-0.44%
16-04-2021,74.53,74.707,74.854,74.287,2.17K,-0.25%
19-04-2021,74.85,74.575,75.055,74.567,2.28K,0.43%
20-04-2021,75.38,74.687,75.461,74.507,2.25K,0.71%
21-04-2021,75.421,75.356,75.57,75.3,1.01K,0.05%
22-04-2021,75.11,75.427,75.435,74.845,2.23K,-0.41%
23-04-2021,74.92,75.123,75.126,74.755,2.33K,-0.25%
26-04-2021,74.73,74.75,74.917,74.669,4.55K,-0.25%
27-04-2021,74.58,74.79,74.839,74.505,4.75K,-0.20%
28-04-2021,74.489,74.625,74.63,74.287,4.63K,-0.12%
29-04-2021,74.09,74.22,74.293,73.953,5.13K,-0.54%
30-04-2021,74.05,74.155,74.222,73.945,4.84K,-0.05%
03-05-2021,73.81,74.279,74.332,73.82,3.98K,-0.32%
04-05-2021,73.76,73.868,73.978,73.765,4.50K,-0.07%
05-05-2021,73.8,73.788,74.048,73.752,4.07K,0.05%
06-05-2021,73.6,73.812,74.011,73.595,4.09K,-0.27%
